"","Median","LCI","UCI","Geweke.p","Heidelberger.p"
"mu.r",-0.001,-0.086,0.099,0.978,0.423
"sigma.proc",0.292,0.206,0.529,0.402,0.98
"q.JAP_NW_hist",1.001,0.942,1.065,0.312,0.506
"q.TWN_NE",0.758,0.585,0.984,0.079,0.062
"q.TWN_NW",0.709,0.552,0.904,0.079,0.077
"q.JAP_NE_hist",0.599,0.461,0.778,0.295,0.239
"q.JPN_NW",0.552,0.4,0.756,0.097,0.111
"q.JPN_NE",0.575,0.425,0.771,0.047,0.163
