"","Median","LCI","UCI","Geweke.p","Heidelberger.p"
"r.Dassen.Island",0.028,-0.096,0.151,0.639,0.844
"r.Robben.Island",0.25,0.127,0.375,0.112,0.437
"r.Boulders",0.266,0.14,0.391,0.693,0.297
"r.Stony.Point",0.267,0.14,0.393,0.2,0.467
"r.Dyer.Island",-0.03,-0.148,0.095,0.33,0.469
"r.St.Croix.Island",0.037,-0.087,0.162,0.672,0.659
"r.Bird.Island",0.112,-0.015,0.241,0.07,0.111
"r.Mercury",0.094,-0.03,0.223,0.417,0.144
"r.Ichaboe",0.054,-0.073,0.183,0.425,0.628
"r.Halifax",0.086,-0.038,0.212,0.877,0.572
"r.Possession",0.081,-0.043,0.209,0.206,0.102
"sigma.proc",0.343,0.323,0.372,0.005,0.251
