"","Median","LCI","UCI","Geweke.p","Heidelberger.p"
"mu.r",-0.023,-0.041,-0.007,0.461,0.546
"sigma.proc",0.062,0.038,0.1,0.227,0.198
"q.ICCAT",1,0.941,1.065,0.801,0.069
