"yr","Type","estimation","total","total.lcl","total.ucl","Mercury","Ichaboe","Possession","Lamberts.Bay","Malgas","Algoa.Bay"
1956,"census","fit",276.428074251477,212.611892753493,371.094986882062,8.48773513922589,193.944083429103,20.8491279524004,5.25027033618135,26.0913668972198,20.318924001755
1957,"census","fit",270.851613256404,203.992417331835,371.809685123732,8.08062678652337,188.233173017347,19.8926790993945,5.12689671734075,26.2909508179525,21.1901902159064
1958,"census","fit",265.436725886855,197.153104527842,367.951371080379,7.62499909418732,182.915742286073,19.1250577858451,5.0359315654894,26.6149821536979,22.1327563839831
1959,"census","fit",260.17623176677,192.074799789592,364.281358451943,7.19575479451894,177.791347281569,18.309017024541,4.92011703870037,26.8603960033817,23.042471217067
1960,"census","fit",255.158275915948,186.277372429092,360.627927126593,6.80276602591354,173.188506723009,17.409344203267,4.81381151462082,27.0711959782612,23.7148145077274
1961,"census","fit",249.548820882458,182.220259860363,354.771371937591,6.45378223338581,168.038593828894,16.6459989136176,4.70496012260583,27.2661008990788,24.3654355301314
1962,"census","fit",243.80618187101,179.369687416889,342.447111322818,6.11216375503989,162.365908827146,15.9050563114746,4.58882962260294,27.4462109362918,25.020954946565
1963,"census","fit",238.781039962534,176.512126494459,332.820280916776,5.77304533830491,157.639649016605,15.1770875759824,4.49582222913046,27.726714150231,25.680849426465
1964,"census","fit",233.580621080347,174.761749945003,323.562514157198,5.49134141108039,152.964212458657,14.5051332042676,4.3766769284007,27.9614442889272,26.4005195609204
1965,"census","fit",228.909854740179,173.961955638023,311.048754486569,5.20201244290597,148.287334353442,13.9379568995021,4.28116296100816,28.1842538887466,27.073979572513
1966,"census","fit",223.975727252156,172.98613636638,298.374861706624,4.9272835656365,143.688397131905,13.3331114239401,4.19247362300224,28.4541535145042,27.7880592937829
1967,"census","fit",219.724035992796,173.827601697303,283.591249664947,4.6623324785472,139.578312854398,12.7735396111775,4.08881295971649,28.734638057786,28.6094748615343
1968,"census","fit",209.501113181253,163.937765771885,276.919185031638,4.3128143402319,130.339138062073,11.624228342562,4.06632362636789,28.6096038437072,29.408373660499
1969,"census","fit",200.721418261422,155.18741439992,267.184715385435,4.00355034105167,122.085452523693,10.6156216447492,4.05048819800208,28.452346615436,30.1681591211971
1970,"census","fit",193.295914063047,149.270006634243,257.800588980732,3.98819811456189,114.619741996187,9.66237820099915,4.23930506818517,28.4695522838249,30.8412645786909
1971,"census","fit",186.117557836078,143.554751978692,248.331581103001,3.98250806124952,107.374574273238,8.78074023948899,4.43919753049948,28.4847826168395,31.560476266359
1972,"census","fit",180.337730501408,139.139797277656,241.050718825916,3.96975960485465,100.595913313529,8.00641915914112,4.64915073980003,28.4794349606863,32.8590913502665
1973,"census","fit",174.513694855468,136.248866094958,231.325047920356,3.93810834302734,93.8956828027881,7.2756663725489,4.86235141210015,28.5165336778881,34.2456077390123
1974,"census","fit",169.802695825246,134.144267396321,221.311605604742,3.9256950407473,87.9426711317061,6.62095366626301,5.08201583046106,28.6014611317324,35.7468264639009
1975,"census","fit",165.173883838105,131.956360254088,211.9922153931,3.90327790153176,82.4612874862675,6.02816159416384,5.32356781624968,28.60456361116,37.0505226451009
1976,"census","fit",160.698048972104,130.670559969243,203.471953897164,3.89082626133708,77.0023395293705,5.50845920371417,5.55482878066864,28.6866203493234,38.4226488023942
1977,"census","fit",156.874966169804,129.633701440403,192.345877909852,3.87055874310866,72.3217600665429,5.02171464016187,5.81709911079622,28.7743302647273,39.7412822338638
1978,"census","fit",153.099940205341,130.743268744327,181.008714478277,3.86828067775501,67.6283839393732,4.565545674403,6.08357676383903,28.8686984303095,41.0774293432731
1979,"census","fit",148.873599357635,127.854982382556,174.134258166438,3.53319725013853,62.8920904355779,4.20830503063195,6.45990062798987,29.0935089740999,41.7898674730413
1980,"census","fit",146.034667609346,127.711927135328,167.79504510665,3.25243416710928,58.3538997631887,3.86163328190648,6.85402851384394,29.3429772867431,43.5539107883108
1981,"census","fit",144.454532710483,126.82361484821,164.399075374294,2.97933850873573,55.174015547109,3.67112513712205,7.17822509924268,29.4704781446208,45.0636411334572
1982,"census","fit",143.315008242148,125.139869562903,163.278923740898,2.96039110561735,53.1236365602076,3.40207272654222,7.42039052594113,29.3267866043128,46.3243018786296
1983,"census","fit",141.075602160374,123.967250214574,159.908298614199,2.84938835581586,51.1261849148002,3.25679140277753,7.81015015098394,28.4604921341526,46.863350969943
1984,"census","fit",142.588963663676,126.100312740088,161.445886618883,2.83888066222532,50.2930564724399,3.05824455457728,8.6330713108388,29.864216265996,47.2200068746058
1985,"census","fit",144.011625044521,126.95644737624,162.712908226271,2.69455919510593,48.2271438761815,3.03214137534413,9.26874048168211,31.8142452459213,48.2301879267228
1986,"census","fit",148.816460247188,131.358678546282,169.816119611531,2.65327558467427,47.7593595915278,2.89908652504439,10.0553249262345,34.8000193133704,49.9670697670199
1987,"census","fit",152.755261847498,135.187018213147,173.828021072873,2.6594185661557,47.5860010515647,2.79378785520164,10.705487359812,37.1502759435488,51.3036433016066
1988,"census","fit",155.31301359264,137.365700275167,176.85129799659,2.71643754827943,46.8866095058769,2.68980037760038,10.6728382307617,38.7978232710865,52.7528406779928
1989,"census","fit",155.173022226626,136.697863597048,177.111222835767,2.67000992120476,44.7591712324241,2.52433604172616,10.6192636869161,40.1147888588876,53.6409177945163
1990,"census","fit",150.643990201254,132.388261082448,171.530121227267,2.57813533751664,40.3378381557314,2.27615293469859,10.5184562240575,38.9799601136372,55.0259139696999
1991,"census","fit",149.690737069022,131.659340054806,170.74458983928,2.48749821719973,36.5723118187395,2.0611695823108,10.6411611200144,40.3307493922555,56.7531444748661
1992,"census","fit",148.115863931361,130.749412573363,168.081244106223,2.40523618000506,32.9703282909116,1.8692350959216,10.4895902931125,41.0136584084459,58.4487623043429
1993,"census","fit",148.597380084978,131.326771544765,168.841541537561,2.26006886647301,31.556530649118,1.5160942388191,10.3538302347597,41.4379679741984,60.8389970249105
1994,"census","fit",150.765767506889,133.101670014241,171.580203067291,2.0385907585684,30.1484602203544,1.25219627035741,10.2141105345361,44.1521112466481,62.3526476395431
1995,"census","fit",152.088050269306,133.559840812896,173.828125194029,1.93409010835583,28.5097586015693,1.10213097111572,10.1697336921058,46.3436002472239,63.4599119568342
1996,"census","fit",152.072019756991,132.511235020011,175.083650747528,1.82315951208627,26.4344825630187,1.05202780866379,10.2616394342283,47.7432119679961,64.1031282284602
1997,"census","fit",149.450772386829,130.334918784839,171.465890635399,1.71914722618356,23.5219190366173,1.08612184992165,10.3104284226038,47.5213928521499,64.6694431925986
