"","Median","LCI","UCI","Geweke.p","Heidelberger.p"
"mean.r.1",-0.024,-0.057,0.004,0.963,0.881
"mean.r.2",-0.047,-0.082,-0.015,0.051,0.07
"mean.r.3",-0.057,-0.093,-0.024,0.884,0.08
"mean.r.4",0.014,-0.019,0.048,0.001,0.051
"mean.r.5",0.004,-0.025,0.037,0.545,0.509
"mean.r.6",0.032,0.005,0.066,0.251,0.079
"sigma",0.123,0.091,0.142,0.915,0.941
