"","Median","LCI","UCI","Geweke.p","Heidelberger.p"
"mean.r.1",0.005,-0.1,0.113,0.361,0.506
"mean.r.2",0.192,0.088,0.302,0.228,0.761
"mean.r.3",0.221,0.116,0.329,0.86,0.803
"mean.r.4",0.258,0.151,0.365,0.398,0.34
"mean.r.5",-0.029,-0.131,0.077,0.689,0.973
"mean.r.6",0.033,-0.075,0.142,0.912,0.765
"mean.r.7",0.093,-0.015,0.201,0.359,0.466
"mean.r.8",0.078,-0.03,0.191,0.269,0.505
"mean.r.9",0.043,-0.069,0.157,0.525,0.16
"mean.r.10",0.082,-0.026,0.196,0.769,0.478
"mean.r.11",0.091,-0.019,0.203,0.626,0.109
"sigma",0.331,0.299,0.358,0.938,0.694
