"yr","Type","estimation","total","total.lcl","total.ucl","Dassen.Island","Robben.Island","Boulders","Stony.Point","Dyer.Island","St.Croix.Island","Bird.Island","Mercury","Ichaboe","Halifax","Possession"
1979,"census","fit",52804.8861964981,46892.3593490132,59770.3636153453,12516.5427099111,7.61324004443793,1.55645912042505,0.765035262744617,22808.3647512928,13963.5946373145,554.635302684272,1097.76890538001,765.170271803974,374.608020688143,309.13763996244
1980,"census","fit",52284.9054836743,39336.1481910188,73305.1097123508,11082.7180112297,8.17127657661021,1.63283340413947,0.837840499117417,22096.2718361437,14819.94084011,566.458234801399,1115.49148449246,767.757957153939,377.675890805882,313.454098954314
1981,"census","fit",52473.9575144803,35283.2474444217,81984.5334157444,9864.01759599296,8.78594920610642,1.73948572598489,0.917433665163021,21368.4284650398,15557.1241603409,584.355099084179,1130.358857614,777.264943107017,381.509881002852,315.787133262545
1982,"census","fit",52014.3008381469,33198.7353090243,85710.4753483752,8748.70624613371,9.30911961632912,1.83694328799711,1.00728438788947,20717.2963258339,16517.8028140926,713.46665014949,1139.85726551252,769.712981680331,387.504159824286,320.673716995866
1983,"census","fit",51550.6387550864,32790.6665276065,84623.6903875481,7744.78991305065,9.95371613555072,1.92835209587375,1.15595853170814,19840.5953205247,17563.0727259315,878.067172447247,1158.17866355041,778.485447132595,393.908612817736,325.489863209107
1984,"census","fit",50418.4327351694,33682.5476547025,77918.0828541298,6791.65885420575,25.1308295536462,2.0311562844288,4.69858050624802,19226.3686724686,18390.7506223375,1068.88421751601,1168.82418237418,781.542335335541,398.946365965178,332.475088580193
1985,"census","fit",49314.2748173323,37981.0733851582,67288.3760584388,6026.41127316917,97.1403258272363,2.14530550177947,10.962356913901,18586.8672033837,19268.412024222,1305.21339616116,1181.5840498323,780.181224540739,403.953154135645,335.810821339625
1986,"census","fit",48240.2365260509,37307.1762007881,66624.4846355036,5410.23697041647,224.295784959693,4.06151689391425,25.4107120129618,18136.0274597281,19301.5438702957,1594.30594415321,1201.00508685157,785.364912329466,408.9943115432,338.747149251644
1987,"census","fit",47318.8912019089,33048.4682614827,73235.71870181,4801.34950712018,466.593441655319,7.6419625316103,35.2420231415299,14945.5575986715,19371.3503222277,1957.70660003243,2098.42130458896,1331.59105267359,652.490634515887,469.516920339907
1988,"census","fit",49022.5062583739,33792.1570637747,78515.3646847568,6290.68140617247,804.885690297564,29.9220534800163,48.9232724539233,12252.639903296,19451.4077847924,2376.01642561161,2634.35230265844,1756.66323230325,758.950628615587,868.2918621329
