"yr","Type","estimation","total","total.lcl","total.ucl","Dassen.Island","Robben.Island","Boulders","Stony.Point","Dyer.Island","St.Croix.Island","Bird.Island","Mercury","Ichaboe","Halifax","Possession"
1979,"census","fit",52830.847093547,46469.3327706459,60292.9942589447,12510.2287079147,6.84755509579098,1.44265489788978,0.774518467056506,22766.1347298458,13935.845625665,544.732647613847,1079.6861128262,761.836920809233,383.035364132603,323.893955908816
1980,"census","fit",52581.9888700091,38943.2379147372,74900.4594916589,11098.7444166748,7.50934681597184,1.53185487026987,0.843262048435567,22166.9230671247,14811.6088532458,563.900166561377,1099.78749667566,770.313275835161,388.402547188731,325.622781445329
1981,"census","fit",52591.9474140116,34560.312546333,83669.5496346145,9882.57376450605,8.28185366618823,1.63927445525521,0.928411950269931,21270.3697055654,15729.0409861554,583.588758223681,1119.40883201066,770.14027791627,389.757442145434,329.977364409986
1982,"census","fit",52386.7535791405,32350.7595136739,87169.4106956883,8768.37964426536,9.10205575658183,1.76939311154694,1.00650536541147,20733.2873807261,16467.2189279598,718.760640729419,1126.90526357277,775.281268668118,396.917297683314,332.461383244034
1983,"census","fit",51766.7885972094,32018.4622218135,86195.2367253974,7774.01795198683,9.88309192159504,1.8794013930185,1.15507380697972,20136.0083185813,17307.2723800582,866.994956844914,1144.38446769546,779.183777959885,402.076540456952,332.07809058338
1984,"census","fit",50787.9618570176,33479.8390253177,79993.1879633325,6855.07640139175,25.1852357436343,2.00379657107061,4.70173263377149,19492.049731923,18318.8753792966,1055.1870592853,1159.60299685725,781.221123960541,404.008401588333,334.216635328085
1985,"census","fit",49552.9073872137,37784.3241604134,68916.7034435961,6103.15983301217,96.8564739062973,2.13683303856015,10.9908944192777,18763.7771618585,19305.3930333496,1300.97098994645,1182.42824934363,782.400940625271,410.592239054694,338.898422029364
1986,"census","fit",48356.9104990411,36987.8304417528,67078.9941001834,5424.65280242735,224.049778428858,4.05043966034864,25.4590576765323,18113.8142094059,19355.6673083269,1580.56675207141,1195.66316947551,783.439066699597,410.842810894245,339.762540276155
1987,"census","fit",47424.2049739586,32660.9400830031,74161.4953184685,4798.52124531088,465.761974854976,7.61727738595994,35.0826974700878,14867.3023737826,19245.4175613448,1945.53701908058,2098.6140283749,1332.2959748956,652.882964364414,469.733911546186
1988,"census","fit",48827.3353628233,33238.6128350971,79502.253502477,6257.13837351562,803.132069773882,29.9196191889592,48.6895588191275,12246.6726176975,19316.5270330507,2396.91910875543,2638.63152638595,1753.55457219152,752.674131968803,869.758904040585
