"","Median","LCI","UCI","Geweke.p","Heidelberger.p"
"r.Dassen.Island",0.035,-0.09,0.165,0.451,0.306
"r.Robben.Island",0.283,0.155,0.413,0.664,0.643
"r.Boulders",0.282,0.156,0.416,0.265,0.44
"r.Stony.Point",0.267,0.136,0.398,0.07,0.054
"r.Dyer.Island",-0.032,-0.159,0.097,0.415,0.233
"r.St.Croix.Island",0.038,-0.09,0.165,0.795,0.806
"r.Bird.Island",0.115,-0.012,0.246,0.508,0.645
"r.Mercury",0.094,-0.034,0.225,0.738,0.761
"r.Ichaboe",0.05,-0.079,0.181,0.753,0.74
"r.Halifax",0.076,-0.051,0.208,0.378,0.621
"r.Possession",0.072,-0.056,0.204,0.366,0.166
"sigma.proc",0.346,0.306,0.379,0.042,0.434
