"","Median","LCI","UCI","Geweke.p","Heidelberger.p"
"r.Dassen.Island",0.064,-0.067,0.204,0.62,0.15
"r.Robben.Island",0.307,0.171,0.449,0.176,0.58
"r.Boulders",0.295,0.153,0.439,0.315,0.141
"r.Stony.Point",0.274,0.138,0.416,0.596,0.3
"r.Dyer.Island",-0.029,-0.164,0.11,0.162,0.316
"r.St.Croix.Island",0.029,-0.11,0.166,0.112,0.118
"r.Bird.Island",0.102,-0.036,0.241,0.745,0.926
"r.Mercury",0.09,-0.05,0.232,0.384,0.816
"r.Ichaboe",0.047,-0.09,0.189,0.508,0.059
"r.Halifax",0.081,-0.058,0.223,0.011,0.246
"r.Possession",0.078,-0.062,0.224,0.959,0.9
"sigma.proc",0.365,0.322,0.412,0.911,0.967
