"","Median","LCI","UCI","Geweke.p","Heidelberger.p"
"mean.r.1",0.058,0.023,0.098,0.03,0.058
"mean.r.2",0.077,0.032,0.121,0.076,0.235
"mean.r.3",0.021,-0.02,0.065,0.037,0.172
"mean.r.4",0.072,0.028,0.111,0.001,0.194
"mean.r.5",0.085,0.043,0.13,0.952,0.765
"mean.r.6",0.092,0.048,0.135,0.853,0.996
"mean.r.7",0.074,0.035,0.122,0.158,0.587
"mean.r.8",0.118,0.072,0.159,0.732,0.404
"mean.r.9",0.063,0.023,0.105,0.038,0.192
"sigma",0.125,0.105,0.141,0.653,0.843
