"yr","Type","estimation","total","total.lcl","total.ucl","De.Hoop","MZNP","Gamkaberg","Kammanassie","Karoo","Gariep","Kandeboo","Commandodrift","Tsolwane"
1985,"census","fit",365.672122916907,333.960500072522,400.612836945079,24.813140046992,150.278048509919,18.4994276638971,12.1814649838426,76.1544261474217,7.6712589254152,34.0872021246077,7.26752387601139,33.4545932418167
1986,"census","fit",373.686517814849,333.207720753393,420.63286494576,25.8959965633971,145.074223305265,18.1727470692882,13.300849634123,76.3860007511816,9.6038934996913,38.1626852363329,8.57299180039173,35.8649804374195
1987,"census","fit",382.81939200291,345.213713771179,425.34528653375,27.0107496973458,140.127829207264,17.7399095810185,14.5213559275242,76.8907049429639,12.0710686529447,42.8913482910908,10.1421138754826,38.6268598479714
1988,"census","fit",414.66609842284,374.921419652975,459.303821676946,28.0777347205864,155.771995885233,17.2877977525288,15.7911234581139,77.5021688830134,15.3017885169746,48.1395539054683,11.9034918470545,41.6076903601806
1989,"census","fit",450.702112610395,410.833331954803,493.419872542615,29.2139586119094,174.004561125044,16.8661002723198,17.2956815914822,78.0952690198054,19.3710432882195,54.1005367712056,14.0609951101463,44.7126099054046
1990,"census","fit",478.543861198932,444.677583610005,516.213867819881,30.5051172344906,183.070315106728,16.5257541860535,18.8607856838981,78.3508053312378,24.571436162136,60.8125888267222,16.5925652215401,48.1184796515641
1991,"census","fit",524.181629377156,483.801472123553,571.464345522596,32.5463133972692,201.139425893837,16.8400703973059,20.3314688679088,82.3666903218422,28.5575310640925,69.4676204775379,20.6420802464035,50.1556626874913
1992,"census","fit",577.894028016653,534.32521351965,626.192805975876,34.8720229537437,223.796479041485,17.2528787029458,21.8964229884437,86.6530405552581,33.139711254961,79.68678412659,25.6122092757575,52.53032922205
1993,"census","fit",618.352996567032,576.775235375557,664.757440718627,37.155803953641,234.485314966868,17.6064697015083,23.6528960061063,91.0343552760676,42.875072976596,84.0836426303651,31.2759671782213,54.8739461631099
1994,"census","fit",688.602712109318,638.424538305591,742.665508950901,43.3549731609369,252.473882171984,18.9583611157756,23.5483042814704,106.314748166694,53.4374883295689,90.4366394011924,38.5839386502423,58.8159447195985
