"yr","Type","estimation","total","total.lcl","total.ucl","Dassen.Island","Robben.Island","Boulders","Stony.Point","Dyer.Island","St.Croix.Island","Bird.Island","Mercury","Ichaboe","Halifax","Possession"
1979,"census","fit",52865.1847454934,46731.770921759,59632.0792017302,12548.5628736103,7.6752108266668,1.51727087599664,0.75136144812462,22804.0053287805,13929.2176284967,550.446052833659,1093.19030273796,767.386924858884,376.219829920938,309.653806880373
1980,"census","fit",52367.3390569293,39012.8140691177,73761.5168236771,11109.6134412378,8.13383958038834,1.60578504670956,0.824291682889676,22202.4084104736,14849.3058339914,567.623779620654,1096.65794377445,767.497562948386,382.312816600935,315.772241547775
1981,"census","fit",52274.2430361789,34504.3904362926,83018.2860719003,9815.85807338185,8.67561787232438,1.70637908204989,0.914448282887295,21395.926568155,15720.2807904531,582.042115657501,1120.08144280076,771.615096850061,387.519675593663,319.253260871026
1982,"census","fit",52092.8948143228,32925.7525956702,86890.5480510339,8701.96804676993,9.28624056675267,1.80829319940521,1.00596442305253,20670.3922554506,16595.552752704,714.21093001409,1142.7578562522,777.641565477627,387.240958233561,321.925198453932
1983,"census","fit",51897.2915482265,31953.8372467295,85189.0319776012,7685.18741642479,9.93179386083357,1.92893234332982,1.15121860016645,20154.0191046747,17445.689269229,877.540608531193,1146.39590102511,770.849174916056,394.579218549338,327.38785928734
1984,"census","fit",50718.2850860058,33675.0889390935,79422.039179084,6841.95646616197,25.1661669104566,2.04183839732788,4.6987170051928,19297.209976377,18353.5671805927,1069.0486916246,1164.26906057967,774.152001657712,400.093683792261,330.151869262844
1985,"census","fit",49425.2370787131,37728.3777347308,68274.6192111333,6122.27596757664,97.1171168563043,2.13156598345054,10.9818433610095,18734.6953072358,19367.77014819,1315.9339850935,1174.69582428193,783.296141584655,405.117895353226,334.227480912441
1986,"census","fit",48363.905699903,37104.0004927988,66455.2294885403,5399.72154878269,224.601213245361,4.06040442461455,25.5627775514483,18124.151824643,19319.2854869182,1597.77291107591,1199.71146169155,784.245819073276,409.127596529418,338.289927364952
1987,"census","fit",47232.85092841,32687.5870955119,74337.0131592512,4797.7927336147,466.36015977224,7.59276519040931,35.5387810200306,14834.8915598251,19337.8928298662,1979.37505295757,2099.63370067686,1334.75074428275,653.24978234848,469.611825513146
1988,"census","fit",48715.9352780172,33313.239258718,79237.1808136085,6275.9235601738,805.848312265868,29.9870336667831,49.2753912301927,12201.5055389674,19424.3058075524,2421.40041108783,2624.39546842297,1757.69244932714,758.035685315869,873.232052879947
1989,"census","fit",49860.9598510342,35775.2634171631,80525.1439967481,8223.44592060716,859.414467859007,38.4145897860686,68.3400342512672,10085.5746645486,19421.6982702213,2942.56654389051,3326.72331415416,2307.55155558713,880.518252942309,785.183588212697
1990,"census","fit",48600.7833897552,35913.5339837052,78453.8110966159,8474.0306706705,1274.16060599521,56.4375488600128,85.5871026415528,8273.50370064888,19171.8938249395,3592.81264489266,3523.96109402114,1984.75665149197,1011.36676258001,709.286957181991
1991,"census","fit",47409.7622030554,35856.1167624723,71957.6321470721,8831.40047013156,1828.90301614562,123.679396187667,75.5676113501372,6351.28696154599,19298.2386379001,3267.12776061546,3549.47451034673,2197.48223644741,838.721850796688,690.02659582163
1992,"census","fit",47089.4747933103,37345.0532742326,64631.2206631216,7641.9563987683,2020.03317512506,160.112867283,56.8116076659154,6812.41443518744,19248.7334357235,3587.87406412291,3558.20134825946,2412.74769272779,704.961567970648,674.009054626339
1993,"census","fit",42174.0353559749,37860.306022939,47247.9711724894,7409.74521592037,2206.05484947837,240.524184168231,41.6555981829935,2760.01101383192,19382.784443349,2439.76872096206,3498.43482170284,2635.35763754069,703.348354363594,720.315565544581
1994,"census","fit",44577.6759281092,35261.5211530247,61256.4570649906,9209.30684699451,2699.09479596777,347.423100412145,44.3322673316237,4390.95018829532,18513.2471264519,2906.5471858504,2240.59949290034,2764.37865097984,661.799423016534,528.876789142117
1995,"census","fit",44465.3064417086,34507.8207089277,65690.9594876497,9723.56530499,2374.50935199909,369.282540584768,50.466193833512,4178.67285545295,17574.7553630082,3446.88128790358,2271.96093953621,3218.23114381135,479.912366002891,590.658244446953
1996,"census","fit",41643.411002934,31720.4856432132,63512.8760900801,9471.71549836178,3039.0859300355,429.736585641592,56.9437207023042,3297.25632682437,16707.489480495,2457.23182311582,2401.52450060569,2611.62813048573,395.91915946966,507.250787952558
1997,"census","fit",38921.8378582895,29904.6537814768,57334.5963583212,8920.71557920846,3325.58539436441,680.452702229446,63.8697146702534,2718.38104723835,15728.2361776409,1753.10971407563,2658.28588017826,1930.51017065433,428.868411354906,507.930906879863
