"","Median","LCI","UCI","Geweke.p","Heidelberger.p"
"r.Dassen.Island",0.007,-0.102,0.12,0.07,0.587
"r.Robben.Island",0.197,0.086,0.311,0.204,0.1
"r.Boulders",0.237,0.122,0.353,0.815,0.449
"r.Stony.Point",0.283,0.173,0.398,0.889,0.97
"r.Dyer.Island",-0.024,-0.137,0.086,0.814,0.375
"r.St.Croix.Island",0.04,-0.07,0.152,0.448,0.704
"r.Bird.Island",0.103,-0.01,0.216,0.97,0.338
"r.Mercury",0.082,-0.033,0.194,0.299,0.817
"r.Ichaboe",0.045,-0.069,0.164,0.683,0.15
"r.Halifax",0.086,-0.025,0.199,0.491,0.068
"r.Possession",0.093,-0.019,0.207,0.444,0.922
"sigma.proc",0.34,0.293,0.37,0.183,0.667
