"","V1","V2","V3"
"1",1992,NA,1.55800180142074
"2",1993,NA,1.40658576811818
"3",1994,3.74506319183172,1.25320939016067
"4",1995,3.52732734146042,1.09586728180925
"5",1996,3.07610481645981,1.00084560813167
"6",1997,2.85614978062342,0.852750782700236
"7",1998,2.47578453850414,0.696678089502244
"8",1999,2.01577000734608,0.670076450682154
"9",2000,1.71432747373491,0.607650949040609
"10",2001,1.50183667212839,0.575204888873304
"11",2002,1.27743683314936,0.533758468863792
"12",2003,1.19237991664654,0.539086146801206
"13",2004,0.985020875877233,0.522035117112559
"14",2005,0.943990119903694,0.584261007951105
"15",2006,0.959361228120117,0.531124771418693
"16",2007,0.788675255244332,0.491216485231512
"17",2008,0.826912317840758,NA
"18",2009,0.791223661503328,NA
"19",2010,0.75458592806418,NA
"20",2011,0.776435436423108,NA
"21",2012,0.798243351507006,NA
"22",2013,0.861781801629907,NA
"23",2014,1.00237972437705,NA
"24",2015,1.04193461418785,NA
"25",2016,0.977677033338135,NA
"26",2017,0.919043875634803,NA
