"","Median","LCI","UCI","Geweke.p","Heidelberger.p"
"r.Dassen.Island",0.003,-0.103,0.111,0.489,0.521
"r.Robben.Island",0.194,0.085,0.304,0.402,0.521
"r.Boulders",0.227,0.115,0.337,0.76,0.586
"r.Stony.Point",0.272,0.167,0.383,0.229,0.827
"r.Dyer.Island",-0.021,-0.128,0.086,0.505,0.443
"r.St.Croix.Island",0.033,-0.077,0.14,0.404,0.399
"r.Bird.Island",0.098,-0.008,0.207,0.814,0.21
"r.Mercury",0.079,-0.031,0.189,0.402,0.845
"r.Ichaboe",0.043,-0.067,0.155,0.084,0.074
"r.Halifax",0.085,-0.027,0.198,0.179,0.323
"r.Possession",0.092,-0.016,0.204,0.221,0.243
"sigma.proc",0.331,0.306,0.357,0.856,0.738
