"yr","Type","estimation","total","total.lcl","total.ucl","Dassen.Island","Robben.Island","Boulders","Stony.Point","Dyer.Island","St.Croix.Island","Bird.Island","Mercury","Ichaboe","Halifax","Possession"
1979,"census","fit",52836.845255083,46681.6455723482,59969.5946699448,12534.7119334822,7.56992450215955,1.53363960915635,0.747369958713442,22741.4467044784,13971.4470353992,553.587834453319,1112.83205203095,761.336515979512,375.717262350545,309.341994050389
1980,"census","fit",52293.2303771343,39152.6079320146,73850.0923302714,11167.8428281107,8.1388292410689,1.62024513899915,0.830908492341371,21853.2366879245,14835.2259735895,570.233004471803,1125.9139293266,767.417303360161,380.969279299541,312.907482148945
1981,"census","fit",52154.7556511255,34988.8195451835,81688.9607431628,9899.08899820373,8.7445311486604,1.71103931445416,0.911268871903499,21158.6439876561,15650.9699947476,583.062850221041,1149.15251941674,768.165640226951,386.719773252218,317.674971269427
1982,"census","fit",51798.8932236865,33276.7486766076,85813.8569215563,8769.40686435649,9.26051359996124,1.81345329352922,1.00460910758186,20551.3641006314,16505.8953105008,711.721615942677,1152.38610882114,768.114216111016,389.694652890429,319.23442809902
1983,"census","fit",51350.9737026497,32599.1207184924,84614.0767378008,7779.41994339266,9.93430894097508,1.90357128053748,1.1558398588793,19958.4773092307,17437.6020327752,874.216252733134,1167.42373113791,778.267696745398,397.991764678334,322.586112212428
1984,"census","fit",50567.3631749991,33885.3699068238,78111.6175663897,6859.86294642058,25.2200102608299,2.011528940352,4.69283903418188,19244.6426684091,18306.6528101639,1070.72465189042,1178.73417714014,783.572863306542,401.694112299871,328.981323502251
1985,"census","fit",49302.1695425567,38015.5835138595,66848.3790234733,6077.09656522623,97.0231882794846,2.13888572739126,10.9845879002422,18563.3471158991,19307.1976294971,1313.10662149977,1190.03422541447,787.777839274784,406.341629332921,335.501895979669
1986,"census","fit",48321.9059122805,37239.7883825443,66441.5809872847,5384.45725736775,223.85112459073,4.03073707089394,25.4308275960139,18094.6934918425,19380.7866139738,1597.31024579322,1199.41942625789,784.957825373141,409.846507105467,339.217470018721
1987,"census","fit",47391.5514617638,33028.8681025794,74714.8249845919,4813.17861436523,465.056003794489,7.62049799852664,35.2173834934085,14928.7010364487,19390.701913441,1953.92523306183,2098.96706432934,1333.32028747421,654.317927409278,469.559057591288
1988,"census","fit",48745.8685560378,33689.3549040611,79645.7903910697,6292.13840341545,803.126190180136,29.853135657438,49.1546157336989,12255.8342621325,19271.2437121171,2422.42012892416,2651.57418954335,1753.34527097083,753.91707922896,869.150916409214
1989,"census","fit",49950.2704381147,35929.250598042,81743.6532976291,8206.9429297992,859.498571609868,38.584721599928,68.3732136453936,10067.3303100663,19495.0591714596,2930.62849328781,3338.77521757995,2310.32086809686,868.596538441656,783.855945087594
1990,"census","fit",48981.9027411411,36092.6480003221,77133.5135081984,8505.12137811664,1272.86282444468,56.5509190294929,85.5074920712219,8277.17036972984,19518.6023785984,3583.98769605568,3530.22633106269,1995.57759120952,1011.84019371446,708.541971423566
1991,"census","fit",47630.5288069478,36203.6061555998,71908.269870111,8834.26484574974,1827.19300972133,123.389599205181,75.4489457948145,6348.28560690424,19491.903044382,3264.26131165412,3537.73014523246,2191.8866106014,847.846951780285,691.361899937945
1992,"census","fit",47220.3042479529,37519.0648666334,64574.172162926,7647.37988147552,2022.92339332286,160.457628647098,56.9225692505573,6777.78575136495,19374.0368518659,3589.48326432129,3558.93894543209,2413.26188953227,704.671357590485,676.000270622096
1993,"census","fit",42084.3107828001,37883.055233012,47213.4453684686,7394.74894651283,2203.29390729999,239.600724151551,41.6879296600315,2774.60959062922,19314.5898012309,2446.59586576099,3492.70784865542,2638.26972678726,705.447355785568,720.735967873325
1994,"census","fit",44378.3701471857,35362.2938359752,60667.6086695539,9227.19144172625,2687.3593527546,346.111462491951,44.4041103057718,4378.23881449546,18411.7433799307,2914.75713182463,2236.06473916478,2761.70045668106,660.860294467217,530.626530358016
