"","Median","LCI","UCI","Geweke.p","Heidelberger.p"
"r.Dassen.Island",0.01,-0.108,0.127,0.539,0.103
"r.Robben.Island",0.223,0.102,0.341,0.76,0.542
"r.Boulders",0.248,0.13,0.372,0.354,0.464
"r.Stony.Point",0.293,0.178,0.414,0.78,0.697
"r.Dyer.Island",-0.031,-0.146,0.087,0.969,0.769
"r.St.Croix.Island",0.036,-0.081,0.153,0.639,0.652
"r.Bird.Island",0.108,-0.009,0.228,0.433,0.576
"r.Mercury",0.092,-0.029,0.211,0.323,0.324
"r.Ichaboe",0.047,-0.07,0.166,0.811,0.397
"r.Halifax",0.079,-0.039,0.197,0.263,0.738
"r.Possession",0.079,-0.041,0.2,0.601,0.244
"sigma.proc",0.339,0.312,0.371,0.614,0.081
