"yr","Type","estimation","total","total.lcl","total.ucl","Dassen.Island","Robben.Island","Boulders","Stony.Point","Dyer.Island","St.Croix.Island","Bird.Island","Mercury","Ichaboe","Halifax","Possession"
1979,"census","fit",52916.583399302,46710.4405213526,59917.9052844301,12557.4522186412,7.40065460748045,1.50874329696976,0.747217275308874,22792.0674345985,13958.8863824115,549.26025414569,1086.5502061762,762.501641704869,380.705094136293,320.787382245062
1980,"census","fit",52454.1655886261,39139.6672080812,73618.7004636687,11200.6435351099,7.8964111551666,1.60073408493568,0.83006166807281,22078.10403898,14821.1082384958,562.633457766556,1088.98474749199,763.905420624045,384.238326147701,325.280754162038
1981,"census","fit",52686.126181051,34693.766820782,83353.6031932405,9928.39067462364,8.50634806983364,1.6945511405419,0.913495564920877,21391.2557124201,15757.719998089,582.10637587112,1113.39900364075,769.999694350169,387.644501498848,327.876169272637
1982,"census","fit",52333.0815660529,32805.7997745106,87776.0125517987,8801.10747030018,9.2312471444326,1.80246760573456,1.00488889324997,20564.9866848856,16606.037808192,709.270983036494,1124.50589923772,774.338434789605,393.853127379786,328.581507728145
1983,"census","fit",51763.558419075,32488.4166877471,86559.5323824034,7816.65583924737,9.87785731376343,1.89795361664024,1.14922074034131,19952.3813113754,17538.9273061805,863.204581746345,1145.61666053251,776.687182696137,398.803277072234,330.984463155021
1984,"census","fit",50929.6776420437,33813.7919280048,79927.2492064883,6914.15275033702,25.1923171192304,2.00855497967233,4.70314044638735,19273.6330603442,18387.4090361027,1052.59761762832,1164.63838569145,778.364297847251,397.761563720936,334.355492384107
1985,"census","fit",49504.6556341338,37814.8087636378,67979.0653615565,6134.53364278044,97.2870146166712,2.13174673894077,11.0063684709854,18807.6988229047,19344.3957188002,1293.4476912841,1180.59679595263,782.167832193686,403.764235136098,335.166474007207
1986,"census","fit",48238.7698489288,37236.7250494377,66533.1618050856,5391.70944224751,224.465575845989,4.00830089505106,25.5112376206785,18121.3451651681,19327.2080815671,1591.44995188241,1196.233939274,782.535795913434,409.539028090188,338.614973465766
1987,"census","fit",47299.5890740705,32668.9726149951,75214.2711381045,4796.19497295071,465.549229126593,7.6022463951868,35.569791240803,14913.4354440303,19319.3141026159,1946.75462105931,2102.30397602399,1334.60660751086,654.322687888609,468.285046834093
1988,"census","fit",48882.672445769,33449.9405565263,79992.968636854,6262.23582291701,804.663404809545,30.0973965164463,49.1474890482186,12231.051356228,19342.5746616724,2375.27806212029,2629.3808270831,1753.74349506009,761.748967782766,872.85572346521
1989,"census","fit",49723.892334408,35570.7204193498,81052.0477268699,8222.7816560373,860.877122539474,38.6105949708424,68.2328345744381,10022.9511074306,19281.541727419,2911.86579294212,3329.49444501999,2310.95690133666,875.857583793969,786.45115437591
1990,"census","fit",48925.9752713415,35898.5439957938,78024.3528385081,8515.66704528338,1275.1597979059,56.4591972831215,85.4381517066274,8289.42707020268,19246.121850715,3582.74811780025,3526.91916404874,1991.11200598319,1013.28845733227,707.712189241471
1991,"census","fit",47609.3345317743,35792.0046670033,72890.9135569041,8834.58722130946,1825.50415320365,123.714725138933,75.6687926236394,6336.85897220807,19358.8982691378,3261.68201084605,3555.97589286303,2190.1630307519,841.833204891196,692.864558532589
1992,"census","fit",47215.218300285,37395.7737168573,65649.9639705891,7638.89500675016,2023.80134016442,160.461781067091,56.7779762662483,6826.20556976162,19350.5356782477,3589.82366628295,3560.50879573128,2417.41781075172,703.627338632722,674.033478117954
1993,"census","fit",42134.555588778,37881.9386402355,47251.0863937255,7404.85020423921,2204.12206958017,240.336327804734,41.7032600746306,2755.84382858346,19359.999860256,2439.68763392312,3492.73972862163,2642.26117256255,703.430349142345,723.257122782826
