"yr","Type","estimation","total","total.lcl","total.ucl","Mercury","Ichaboe","Possession","Lamberts.Bay","Malgas","Algoa.Bay"
1993,"census","fit",148.623312254342,131.253391879068,168.713687636734,2.26620972397234,31.5006223555248,1.51537851790439,10.3819158343403,41.4368598884623,60.8578678318652
1994,"census","fit",150.806776940904,133.197090387976,172.016097077956,2.04443227372888,30.0660521622697,1.2502050222413,10.2256576562491,44.220079260485,62.3120893557516
1995,"census","fit",151.966287212658,133.350193276121,174.595258159203,1.93882981433958,28.4618391328239,1.10515820921805,10.1758905562913,46.3203010899181,63.2309047171058
1996,"census","fit",151.917994894275,132.736266131751,175.784489417534,1.82311543731915,26.4741749253919,1.05479951213214,10.2916007211986,47.7530453368405,63.9501520800146
1997,"census","fit",149.471209764963,130.55954462209,171.791776263933,1.71595143793001,23.5297473864291,1.08819461561805,10.2786060097023,47.6766320142748,64.497064393027
1998,"census","fit",146.658711929715,127.497520655314,169.862261126104,1.68236591393399,20.8426493769766,0.793882083799278,10.103121273123,47.0553023808461,65.3841822315878
1999,"census","fit",146.660762535503,124.977763148833,173.767204691595,1.71975640665914,18.6486139981716,0.699829400528281,9.98812390918306,45.6466855244574,69.0483641183653
2000,"census","fit",146.701830123017,125.400898317894,173.356226667096,1.75809679742566,16.6728990819569,0.614985460722872,9.87187721430816,44.4132859729433,72.5527398843374
2001,"census","fit",146.459735911713,125.829063468277,171.569577478008,1.80072283603982,14.9551625679998,0.540486355952039,9.43638308805811,42.5304378661493,76.5259991959804
2002,"census","fit",143.385668227061,122.954545233835,167.117538739345,1.74316443607835,13.726506408862,0.505492633152047,8.99220060050972,39.4923286356483,78.375345030687
2003,"census","fit",140.83089944006,121.105593929404,163.727477407775,1.68623261809019,12.5379707340596,0.47585744774769,8.50164629426606,36.7965307225728,80.3560158922865
2004,"census","fit",140.240948523488,120.624331412547,164.271690109622,1.67958899124343,11.6456644116679,0.452776680076133,7.6503579020712,35.4832473457553,82.7776809651314
2005,"census","fit",139.011499948991,119.664221103127,163.207285697118,1.61399254113191,10.9487312084187,0.42547354763851,6.9109984894776,34.1614949638353,84.5069722059029
2006,"census","fit",135.988776788953,117.045366465956,159.154987002688,1.59791055891306,10.8497483184695,0.415661564169135,6.6889339331494,32.5390911703135,83.4097737155539
2007,"census","fit",135.347388239337,116.666249885925,158.066759595803,1.63134255652415,10.4972371409257,0.426191995501914,7.16927411214166,31.7772678794959,83.3899390387581
2008,"census","fit",136.603184131731,117.63158627413,160.489595873338,1.66782335509138,10.1186048528845,0.437088240880821,7.34292697098856,31.2553891875128,85.2887986675257
2009,"census","fit",134.698905659175,114.530629244843,159.57788692217,1.70226899999147,9.77955817249949,0.44809168597992,7.37930710310304,29.6643596522836,85.2211548366852
2010,"census","fit",132.414895517522,111.481215745829,158.655536790901,1.73945038201687,9.4822250360856,0.459682144533491,7.60575455963184,27.5689527081814,85.025565608465
2011,"census","fit",129.738191122367,109.592326389898,154.328917061474,1.68569241196145,8.94603188026495,0.492627819218711,7.56555060978709,25.6567206627173,84.8592741280785
2012,"census","fit",126.765445833387,107.234552805346,150.363877486378,1.63281641897646,8.45926263506852,0.528982492411627,7.32681613483114,23.0655377457697,85.1703943443538
2013,"census","fit",122.543405973753,102.860755564387,146.640012666938,1.58193504422275,8.04547272168666,0.5242190971905,6.77907073186659,21.3324070062936,83.6246274407688
2014,"census","fit",121.199009447695,100.542901339815,147.636918033776,1.53462018617825,7.58939449345602,0.489086235249345,7.05711512932995,20.4143067755602,83.3942297870407
2015,"census","fit",122.496858224547,99.0173914059065,153.457047430598,1.49690147743836,7.16971917962536,0.458195301167052,7.28491475399026,20.4029893386481,84.7325720571198
2016,"census","prj",124.05751738526,99.7184851780741,156.137124623634,1.45358370691203,6.78036837160075,0.429171572897783,7.3229220131488,20.3186482179906,86.8126483939399
2017,"census","prj",125.665445350163,100.556526568841,159.245826749231,1.41184579380611,6.40896770100743,0.402159605731554,7.36205123284391,20.2355852397024,88.9330544625436
2018,"census","prj",127.340018265943,101.245233050069,162.366243041828,1.37034251553155,6.06124305355107,0.377028753856479,7.40336185493149,20.1488147483107,91.0878228395312
