"yr","Type","estimation","total","total.lcl","total.ucl","Mercury","Ichaboe","Possession","Lamberts.Bay","Malgas","Algoa.Bay"
1956,"census","fit",276.802990472791,211.610533524876,370.019171747797,8.52988847315254,193.396845781169,20.8660216036911,5.27370165299832,26.3694469669675,20.3722383294033
1957,"census","fit",271.122692684803,202.086782866075,371.867440786093,8.07563010752035,188.298441968428,19.9553916025234,5.17272587903255,26.5835589698992,21.2703162651783
1958,"census","fit",265.957021996206,195.786141715375,368.48726337282,7.63011795824655,183.232856793148,19.0857516193766,5.04416476017028,26.8777956919559,22.1288823026373
1959,"census","fit",259.868032923878,190.152175826464,362.417951220857,7.22809339012196,177.444261298636,18.3046667397254,4.92653360860475,27.0015275174762,23.0270798176668
1960,"census","fit",254.420358520678,186.235426477706,357.464870035317,6.8256923472746,171.936773968798,17.4627024516989,4.81303539879499,27.2738386394284,23.6650857038022
1961,"census","fit",248.702343381366,182.466372128887,352.170326845746,6.46917199259871,167.249048536388,16.7403466492162,4.69520491047956,27.4480498754453,24.2489286092873
1962,"census","fit",244.1028364174,180.005317237562,343.732852790212,6.12556159158881,162.196427816394,16.0102538947587,4.58883347390397,27.6613541834718,24.9681395218579
1963,"census","fit",238.713115483843,177.605082397223,334.761224639032,5.80414857290772,157.169147378165,15.2992967578921,4.47132766981796,27.8182746258052,25.5651185384492
1964,"census","fit",234.006239210291,174.844014609261,323.647074246952,5.48399746884421,152.696707144984,14.6306673189779,4.3884294137638,28.0789964108325,26.307317338913
1965,"census","fit",229.287405141924,174.04186952106,314.478344442734,5.18891682783336,148.481587106844,14.0132197988383,4.2834352913463,28.3607648988467,27.0111817895481
1966,"census","fit",224.799823575951,174.095168327351,300.751943657294,4.92396461325863,144.067644195822,13.429015263946,4.18244407785611,28.5833705961777,27.8028823576637
1967,"census","fit",220.588742988513,175.697178530283,286.278274166552,4.65854845850551,140.1399263757,12.8461216950727,4.06788772780144,28.8351010141324,28.5976059471549
1968,"census","fit",210.277207774567,165.028712241784,280.033160683699,4.31777503680114,130.73747317666,11.6616004877446,4.06122519468082,28.744901473243,29.3708580492117
1969,"census","fit",200.614180286418,157.024324664731,269.506485207091,3.99624160012809,122.328201281664,10.5988809847315,4.02809707048116,28.5775098832339,30.0963412585118
1970,"census","fit",193.073740469803,149.744976970572,261.465407220144,3.99170412543073,114.571970953652,9.61737116125959,4.22861691627427,28.5945795643834,30.7505734095936
1971,"census","fit",185.797783067475,144.534071594266,249.759799988028,3.96372843949038,107.333053245043,8.78382825039427,4.43829665395845,28.5725109159552,31.4763048418321
1972,"census","fit",179.980539394451,140.503208245908,241.697517042938,3.95016337698483,100.327924296068,7.9833112899775,4.63357598896636,28.6170620224973,32.808346162951
1973,"census","fit",174.753920577747,136.573799919427,232.189519671257,3.93653923390673,94.0329129626825,7.28474549991254,4.84058692256351,28.6401650656734,34.2874000947582
1974,"census","fit",169.888702709385,134.152044955344,222.684553817284,3.9258250946152,87.7655588814802,6.64511992435374,5.05212944318892,28.6100013554731,35.736760529555
1975,"census","fit",165.451808383305,131.735910535226,211.920265449798,3.89873078256528,82.5772174363688,6.05835219893489,5.30387512262544,28.8572488580794,37.0843455108438
1976,"census","fit",161.181713820931,129.771608694708,201.795678633932,3.8862162548722,77.3169239246601,5.50178428222065,5.54954843093629,28.7932982743916,38.5055175676051
1977,"census","fit",157.057109417014,129.708525703118,191.303103878964,3.86988152223192,72.2769682563764,5.02169569588701,5.80597690167922,28.831726369391,39.8821821485437
1978,"census","fit",153.301756162147,130.548262048255,179.506288401758,3.85658808358313,67.7330467216804,4.56443975621733,6.06392974440281,28.8152999790067,41.2726643626622
1979,"census","fit",148.782227982902,128.078307708218,173.744456146639,3.53587806309285,62.8722389765291,4.18799259468181,6.45191688082701,29.1451929355043,41.9109145498719
1980,"census","fit",146.074388491364,127.506878143697,167.933619179276,3.24545197945812,58.3549061511415,3.84473123805158,6.85466062077602,29.273365259884,43.7360750614495
1981,"census","fit",144.132292990865,126.715955290557,165.096449037347,2.97756133346949,55.1406135900764,3.67181967631626,7.18378369150344,29.4130412784196,45.281511401361
1982,"census","fit",143.265625540484,124.867945272973,163.919252511282,2.94543065144616,53.1557450132843,3.40255031824301,7.42520525107356,29.2591985097224,46.4119130420349
1983,"census","fit",141.025491774608,124.064004145854,160.528282792621,2.83735975815725,51.1365394389822,3.26637238884692,7.78771258812783,28.3918248141241,46.9403786726582
1984,"census","fit",142.628945293235,126.032016147068,161.454617467533,2.8465696067187,50.3032399432133,3.06403951882048,8.63542485754183,29.814058191608,47.2530164272062
1985,"census","fit",143.828301630465,127.358673718881,162.501247307019,2.69995523209562,48.19643782518,3.04971050672497,9.25386859742624,31.6940107516224,48.2901078136158
1986,"census","fit",148.906048743096,131.183445873998,169.897322479761,2.65697365161634,47.8950357672875,2.9247821213985,10.0377029509693,34.6421921457046,49.9087830263625
1987,"census","fit",152.888153412246,135.009125224585,173.539186159439,2.6499158994766,47.7034177529267,2.79914933478371,10.6840644518353,37.0209126352909,51.2500706668918
1988,"census","fit",155.297874959393,137.656198241847,176.714178326275,2.71733993201254,47.0656184180121,2.71209718031309,10.6767981187335,38.7091895370579,52.6890051889473
1989,"census","fit",155.184131352805,137.451826352584,175.616107764343,2.67533290433872,44.8822429335418,2.54429682249787,10.6258518687746,40.0251509795201,53.6592722403954
1990,"census","fit",150.539436093324,132.811102362437,171.118423859247,2.58297866970919,40.5793672221841,2.29124679217122,10.5167851483613,38.9057515052866,54.8409880397223
1991,"census","fit",149.632678650331,132.005668674936,170.168594780423,2.4931879173639,36.6408194668078,2.0705535872712,10.6203080814738,40.2763450082688,56.667162146604
1992,"census","fit",147.911274179412,130.838198182496,167.75627010089,2.41076653384859,33.0163514692636,1.87747227341836,10.4949955802512,40.9999047736963,58.3425871654214
