"","Median","LCI","UCI","Geweke.p","Heidelberger.p"
"r.Mercury",-0.023,-0.054,0.01,0.739,0.448
"r.Ichaboe",-0.05,-0.081,-0.015,0.139,0.28
"r.Possession",-0.059,-0.089,-0.025,0.351,0.203
"r.Lamberts.Bay",0.012,-0.018,0.044,0.959,0.652
"r.Malgas",0.002,-0.028,0.033,0.975,0.536
"r.Algoa.Bay",0.03,0.001,0.063,0.262,0.056
"sigma.proc",0.113,0.079,0.148,0.744,0.933
