"","Median","LCI","UCI","Geweke.p","Heidelberger.p"
"mu.r",-0.023,-0.076,0.06,0.011,0.673
"sigma.proc",0.081,0.028,0.297,0.225,0.596
"q.SC.Au.OG",1,0.941,1.066,0.419,0.291
"q.SC.Au.NG",0.795,0.486,1.281,0.716,0.725
"q.SC.Sp.OG",0.837,0.483,1.477,0.323,0.695
"q.SC.Sp.NG",0.493,0.294,0.803,0.318,0.832
