assessment,run,abundance,generation.length,start.year,end.year,index.se,sigma.obs.est ,sigma.obs.add,sigma.proc.fixed,project.r,stochastic.projection,Klim,K.manual,A1
Afr_penguin,1,census,9.9,NA,NA,FALSE,TRUE,0.1,FALSE,all,FALSE,FALSE,FALSE,FALSE
Cape_gannet,1,census,20.2,NA,NA,FALSE,TRUE,0.1,FALSE,all,FALSE,FALSE,FALSE,FALSE
Mountain_zebra,1,census,15,NA,NA,FALSE,TRUE,0.1,FALSE,all,FALSE,TRUE,TRUE,FALSE
StripedMarlin_IO_CPUE,1,relative,5.2,NA,NA,TRUE,TRUE,0.1,FALSE,all,FALSE,FALSE,FALSE,FALSE
Bluemarlin_Atl_CPUE,1,relative,7.3,NA,NA,TRUE,TRUE,0.1,FALSE,all,FALSE,FALSE,FALSE,FALSE
Bluemarlin_ICCAT,1,relative,7.3,NA,NA,TRUE,TRUE,0.01,FALSE,all,FALSE,FALSE,FALSE,FALSE
SmoothhoundShark,1,relative,13.7,NA,NA,TRUE,TRUE,0.1,FALSE,all,FALSE,TRUE,TRUE,FALSE
Yellowspot_skate,1,relative,12,NA,NA,TRUE,TRUE,0.1,FALSE,all,FALSE,FALSE,FALSE,FALSE
