-----------------------------------------------------
Inference for Bugs model at "C:/Work/Research/Github/JARAbeta//Chin_penguin/output1/jara.jags", fit using jags,
 2 chains, each with 1100 iterations (first 1000 discarded)
 n.sims = 200 iterations saved
               mu.vect  sd.vect      2.5%       25%       50%       75%     97.5%  Rhat n.eff
N.est[31,2]    298.353   34.950   237.320   274.637   297.013   316.948   377.529 1.018   150
N.est[32,2]    269.864   35.374   215.875   245.206   266.336   288.418   362.889 1.056    32
N.est[33,2]    286.277   54.254   182.861   251.195   282.561   318.359   403.364 1.042   200
N.est[34,2]    304.495   36.023   237.445   280.623   302.251   327.491   376.092 1.009   120
N.est[35,2]    300.149   36.937   234.997   271.607   297.458   326.281   372.602 1.010   200
N.est[36,2]    310.132   40.426   235.745   286.259   306.811   331.312   403.872 0.996   200
N.est[37,2]    334.622   40.130   259.526   308.614   330.564   355.943   420.645 1.167    13
N.est[38,2]    308.560   42.990   232.656   280.499   304.733   333.661   404.555 0.998   200
N.est[39,2]    321.472  100.867   183.358   243.440   301.027   376.339   543.626 1.019    85
N.est[40,2]    320.864  103.773   180.349   244.060   297.840   377.537   552.614 1.019    84
N.est[1,3]     335.771  142.783   158.277   247.698   311.291   378.156   694.849 1.027   160
N.est[2,3]     346.663  131.635   162.677   254.388   318.441   417.577   693.104 1.025   200
N.est[3,3]     353.607  117.512   182.021   267.233   331.280   417.658   588.342 1.042   200
N.est[4,3]     355.366   95.317   197.958   293.425   350.374   411.662   548.485 1.045    94
N.est[5,3]     340.069   48.743   257.700   306.967   334.945   368.576   446.971 1.076    30
N.est[6,3]     432.764  112.241   255.558   351.132   419.299   493.758   705.665 1.041    48
N.est[7,3]     548.378  116.151   360.268   458.744   540.778   616.855   792.200 0.997   200
N.est[8,3]     702.393   98.206   535.390   636.243   695.750   758.944   894.707 1.094    23
N.est[9,3]     668.269  131.946   471.205   571.664   651.698   749.314   934.972 1.007   140
N.est[10,3]    604.263   80.039   452.123   548.452   603.184   655.713   758.118 1.028    95
N.est[11,3]    559.275  129.837   328.825   473.713   538.531   630.662   864.248 1.020   150
