"","Median","LCI","UCI","Geweke.p","Heidelberger.p"
"r.Dassen.Island",0.033,-0.091,0.161,0.649,0.078
"r.Robben.Island",0.259,0.133,0.39,0.387,0.186
"r.Boulders",0.269,0.141,0.399,0.744,0.191
"r.Stony.Point",0.276,0.147,0.407,0.044,0.59
"r.Dyer.Island",-0.033,-0.159,0.096,0.658,0.274
"r.St.Croix.Island",0.039,-0.089,0.165,0.069,0.189
"r.Bird.Island",0.115,-0.014,0.246,0.462,0.562
"r.Mercury",0.091,-0.038,0.22,0.384,0.278
"r.Ichaboe",0.056,-0.074,0.187,0.578,0.319
"r.Halifax",0.087,-0.041,0.219,0.828,0.606
"r.Possession",0.084,-0.05,0.214,0.293,0.509
"sigma.proc",0.352,0.319,0.388,0.002,0.071
