"assessment","scenario","name","year","obs","obs.err","hat","lci","uci","lpp","upp","residual"
"Afr_penguin","s1","Dassen.Island",1979,12646,0.110137347445846,12554.0714975766,10053.9596357265,15550.4658293207,9191.71095374393,17117.5005175072,0.00729592455444816
"Afr_penguin","s1","Dassen.Island",1987,4588,0.110137347445846,4807.62369785143,3888.40492281639,5968.29420139845,3539.61700824049,6583.78193619203,-0.0467587290649636
"Afr_penguin","s1","Dassen.Island",1989,8428,0.110137347445846,8216.3888599175,6657.63025369976,10172.4308239063,6024.76292889256,11109.6104635384,0.0254286948449565
"Afr_penguin","s1","Dassen.Island",1991,9012,0.110137347445846,8812.51563377016,7202.57802871949,10806.8865074641,6528.60865249137,11888.8615893523,0.0223840803883437
"Afr_penguin","s1","Dassen.Island",1992,7563,0.110137347445846,7646.43586001461,6257.8145473038,9361.44745251498,5684.4360467405,10327.9480222667,-0.0109717017474367
"Afr_penguin","s1","Dassen.Island",1993,7199,0.110137347445846,7413.35942700961,6069.22659867643,9089.23802368865,5494.75695371372,10114.8618555363,-0.0293415730513438
"Afr_penguin","s1","Dassen.Island",1994,9389,0.110137347445846,9203.47640260207,7528.91206145516,11224.883897485,6819.87424590822,12402.6671023926,0.0199575087481954
"Afr_penguin","s1","Dassen.Island",1995,9792,0.110137347445846,9712.53018037248,7898.61467230915,11902.8657564257,7184.14751682156,13102.1414917372,0.00814890270677537
"Afr_penguin","s1","Dassen.Island",1996,9502,0.110137347445846,9473.64389322566,7712.26515910143,11577.3630510297,6966.34834078004,12840.6710128704,0.00298868676508413
"Afr_penguin","s1","Dassen.Island",1997,8651,0.110137347445846,8926.94473124402,7318.3217849264,10941.7823571558,6640.43982750257,12087.9083922941,-0.0313992797895022
"Afr_penguin","s1","Dassen.Island",1998,10918,0.110137347445846,11024.1288555098,9000.9427753958,13555.9269830338,8144.38635379701,14882.1738677153,-0.00967359947819979
"Afr_penguin","s1","Dassen.Island",1999,15155,0.110137347445846,14860.0954268245,12133.1510256235,18216.9914384004,10988.4917324203,20255.968421961,0.01965104951638
"Afr_penguin","s1","Dassen.Island",2000,17042,0.110137347445846,17169.5424708809,14014.5372831417,20933.4346622201,12670.9321738262,23027.1895379412,-0.00745614214106283
"Afr_penguin","s1","Dassen.Island",2001,21410,0.110137347445846,21035.7844125137,17210.5216413001,25736.0446628606,15582.6542829214,28432.8348630136,0.0176330954289252
"Afr_penguin","s1","Dassen.Island",2002,22681,0.110137347445846,22276.934959836,18242.2937974614,27231.7353722242,16417.3511639687,29967.7263397192,0.0179757331303652
