"pop.change","r.All.yrs","r.1GL","r.2GL","r.3GL"
-57.17894645678,-0.00883748752051794,-0.0486374063647439,-0.0486374063647439,-0.0486374063647439
-52.5312824460859,-0.0228214237542446,-0.049386017897648,-0.0553900926927771,-0.049386017897648
-45.6432641864452,-0.0176603224085863,-0.0610414706404878,-0.0610414706404878,0.000939143920497543
-63.7828057357857,-0.0450947160587765,-0.00788548616957918,-0.0630091032639495,-0.0630091032639495
-57.0381979321516,-0.0246985807355893,-0.00756441428189092,-0.00756441428189092,-0.022928989399718
-52.9304449741213,-0.0326244317098778,-0.0758088804770836,-0.0811572126198321,-0.0181123057639674
-48.1274682209966,-0.0315914392677463,-0.0190177949001491,-0.0194747230500774,-0.0194747230500774
-48.9061065846247,0.00608072397390647,0.00777804872743282,0.00438339922038011,0.00438339922038011
-31.4454991384555,-0.00763479042239279,-0.0246926126145368,-0.0521613831948304,-0.0246926126145368
-75.2480774619351,-0.0156586865227739,-0.0146368840142568,-0.0516361101740781,-0.0516361101740781
-62.2154177299545,-0.0261656318119119,-0.065837708132543,-0.0560358174268796,-0.0560358174268796
-57.6215813788303,-0.045617661647924,-0.0319854943159861,-0.0449925458223124,-0.0449925458223124
-62.1401811038546,-0.0425520116978593,-0.0371853835453635,-0.0371853835453635,-0.047918639850355
-63.39375630985,-0.0220502260612347,-0.0343838701677441,-0.0176070159116009,-0.0343838701677441
-51.2042690430043,-0.0382095572007879,-0.0400931382016534,-0.0415281091835826,-0.0400931382016534
-71.6929170166447,-0.0505452523468595,-0.0900841731074298,-0.0900841731074298,-0.057900534420197
-49.773448212809,-0.0228754642046933,-0.026491154489154,-0.0269079368769543,-0.026491154489154
-25.3145990487666,-0.0202499654329413,-0.00516487596899395,-0.031630489250194,-0.00516487596899395
-51.3203906434114,0.00529074418136233,-0.0158644448949179,-0.0158644448949179,-0.0158644448949179
-39.8382232649745,0.0110134293155726,-0.0238655070102993,-0.0238655070102993,0.0191842483704292
-47.7106352603585,-0.0365147777701402,-0.0515456322603143,-0.0515456322603143,-0.0324728765390248
-69.7591397592189,-0.0150873565141945,-0.00698572543645248,-0.00698572543645248,-0.0159172492412143
-46.0012819412917,-0.0468722955180247,-0.0207506503643788,-0.0570584091503061,-0.0311776557689143
-49.1906156121906,-0.0141334802077635,-0.0311695292637726,-0.0136140888349967,-0.0136140888349967
-50.6662638248474,-0.0356319666496843,-0.04355467629623,-0.04355467629623,-0.0277092570031385
-59.193759713435,-0.0143461552183224,-0.00677966394571072,-0.0126956269401504,-0.0159966834964944
-61.0819293160181,-0.0070857006494558,-0.0102477396291079,-0.0102477396291079,-0.0102477396291079
-37.6617013186816,-0.0336738986312088,-0.0393447245428504,-0.0366023258233845,-0.0249225247205143
-66.5351292002061,-0.0582421805063102,-0.0687607021859353,-0.0687607021859353,-0.0687607021859353
-57.7931247661851,-0.0354031069737477,-0.0174914015604113,-0.0247051376579481,-0.0247051376579481
-58.204272182637,-0.021519626419134,-0.0289186337274643,-0.0375476978697087,-0.0349845230727013
-65.4910719507454,-0.0354658528333625,-0.022705087725738,-0.022705087725738,-0.0466258846484262
-49.0509880130743,-0.0287421625303477,-0.0312921575312917,-0.0519585997066727,-0.0312921575312917
-53.8688513315327,-0.0306409541816244,0.0149438909640125,0.00212858909083735,-0.0331247773981715
-68.2182902737313,-0.0266228013825476,-0.0255881083819869,-0.0255881083819869,-0.0311403719769441
-47.7648954629578,-0.0238640021039416,-0.0234343769596848,-0.0234343769596848,-0.0242936272481984
-50.9134439245736,-0.0310647045212029,-0.0275289831359515,-0.0275289831359515,-0.0275289831359515
-56.3496536041178,-0.0243130841886696,0.000249457991644775,-0.0284785670239103,-0.0396420133681037
-57.1654588884189,-0.046137691747564,-0.049911167196111,-0.0704937889910369,-0.0478458652151534
-61.8944739437894,-0.0269018227519542,-0.0276875580966074,-0.0276875580966074,-0.0276875580966074
-67.5073224716007,-0.0288727540875016,-0.0226658559360029,-0.0264245950233093,-0.0383984662138417
-59.6812268407079,0.0138149667300524,-0.0389487349957349,-0.00254294263055499,-0.00254294263055499
-56.9480317166962,-0.0590848740337124,-0.0136186971957741,-0.0638091649812917,-0.0136186971957741
-59.3912091249786,-0.0394771555638647,-0.0572586759930598,-0.0572586759930598,-0.0572586759930598
-54.5466767258741,-0.0490878885123296,-0.0589791404139515,-0.0589791404139515,-0.0517796473436185
-63.5323580834751,-0.0391369239680452,-0.0395571332664737,-0.0576472242955415,-0.0576472242955415
-43.8864460768345,-0.0461874425617248,-0.042077682795572,-0.0616399983331402,-0.0354348337848247
-59.7018068318472,-0.0107912081321864,-0.00625818647421816,0.00821781815238865,-0.00828929541936851
-33.5990380773747,-0.0225068608048486,-0.0162110435933513,-0.0162110435933513,-0.028802678016346
-52.1834489585013,-0.042082816857743,-0.0460814535956953,-0.0460814535956953,-0.0380255685494575
-43.3243946759374,-0.0204675857285856,-0.00496446374034321,-0.00755689336659415,-0.0297482331561074
-42.4600723246971,-0.0478030724098319,-0.0626803369614848,-0.0626803369614848,-0.024139473304702
-52.4203507857373,-0.00280486900709409,0.00687423497489803,-0.00435699660280342,0.00687423497489803
-51.8497869645886,-0.0595276235072726,-0.0595793656781769,-0.0624203278270237,-0.0615552620001907
-37.4734044557796,-0.0344073025718874,0.0477050703340023,-0.0557000380102899,-0.0522602641927126
-61.1271923421677,-0.0291346780749313,-0.00605528485231943,-0.0734167965813857,-0.0414335100709806
-40.1895230865658,0.00336165926037868,-0.0155749901123414,0.0260209629771939,0.00698118971451578
-45.9258881809686,-0.0252824806217093,-0.0311500072948192,-0.034037808849158,-0.022950672487994
-60.605998488137,-0.0279554615502571,0.0027778965325389,-0.0179652966683026,-0.0323416880672429
-62.2664379523457,-0.0155577171496706,-0.051961795659075,-0.0468266611349026,-0.0468266611349026
-44.3760253399121,-0.0300110279104135,-0.0434112799174802,-0.0434112799174802,-0.0251737926946269
-44.2135760182424,-0.011735127645025,0.00370812827888756,0.00370812827888756,-0.0271783835689376
-39.6264175870246,-0.0234954334810373,0.00509215806705221,-0.0154843752992644,-0.0154843752992644
-60.81807411604,-0.0316931297536778,-0.0419705852773387,-0.0639594400024919,-0.0420043102513326
-64.5193320319598,-0.0106188798032845,-0.0085731454625666,-0.0085731454625666,-0.0085731454625666
-31.3690049308843,-0.00568046389845733,-0.0145619175582468,-0.0228604893951196,0.0032009897613321
-50.0695349079354,-0.00797275615958437,-0.00549310439942374,-0.0275284654688104,-0.010452407919745
-64.0598174419222,-0.0554996859106858,-0.0187572967899925,-0.0620896462610396,-0.0695162670537961
