"","Median","LCI","UCI","Geweke.p","Heidelberger.p"
"r.Dassen.Island",0.012,-0.103,0.126,0.698,0.749
"r.Robben.Island",0.212,0.097,0.333,0.127,0.308
"r.Boulders",0.232,0.114,0.352,0.74,0.732
"r.Stony.Point",0.291,0.174,0.407,0.224,0.237
"r.Dyer.Island",-0.03,-0.144,0.087,0.007,0.376
"r.St.Croix.Island",0.04,-0.074,0.153,0.75,0.982
"r.Bird.Island",0.074,-0.041,0.193,0.84,0.931
"r.Mercury",0.088,-0.028,0.207,0.306,0.526
"r.Ichaboe",0.05,-0.065,0.172,0.805,0.938
"r.Halifax",0.08,-0.036,0.199,0.275,0.615
"r.Possession",0.082,-0.034,0.2,0.142,0.189
"sigma.proc",0.341,0.302,0.374,0.729,0.642
