"","Median","LCI","UCI","Geweke.p","Heidelberger.p"
"mu.r",0.011,-0.047,0.126,0.945,0.967
"sigma.proc",0.117,0.037,0.437,0.668,0.857
"q.SC.Au.OG",1,0.941,1.065,0.253,0.491
"q.SC.Au.NG",0.378,0.215,0.662,0.173,0.072
"q.SC.Sp.OG",0.696,0.357,1.369,0.193,0.446
"q.SC.Sp.NG",0.709,0.417,1.208,0.801,0.302
