"yr","Type","estimation","total","total.lcl","total.ucl","Dassen.Island","Robben.Island","Boulders","Stony.Point","Dyer.Island","St.Croix.Island","Bird.Island","Mercury","Ichaboe","Halifax","Possession"
1979,"census","fit",52849.5140342286,46747.2314505515,60039.5078442203,12568.5197273282,7.668479058349,1.52837904488871,0.75763714358094,22821.5577976037,13891.5072527893,551.400269909833,1098.62384904182,760.60798369019,378.130223692148,313.642582525235
1980,"census","fit",52327.8070709294,38945.532341981,74908.6122886451,11158.4437859336,8.14949060064703,1.60876885431255,0.833701390362444,21978.2835432033,14840.5805340157,565.048459376398,1109.41976056425,765.612651520478,377.664363077924,314.344681331642
1981,"census","fit",52687.7045602689,33982.3291746561,84445.2331694035,9843.45557794057,8.66697547288197,1.69842869286359,0.913203591969264,21419.7506089944,15680.6047415309,582.446745140353,1129.80711958545,766.805931574981,385.580545406573,317.674595705009
1982,"census","fit",52358.3856416937,32462.715546065,87385.7824203273,8815.41388735696,9.31010935174826,1.80254392257564,1.00359526413616,20597.2204811299,16635.8714476939,710.036194409411,1142.68930014422,765.725766014046,388.496945510111,320.986904103999
1983,"census","fit",52013.2955140378,31917.5958049649,86123.3239246479,7819.93567909444,9.88039967067902,1.89872618772723,1.1470591132892,19911.8921120233,17462.5758941882,870.671499594356,1148.49711112946,771.636886570642,394.730879476033,324.685146867742
1984,"census","fit",50933.7878379982,32996.3091797089,81056.8241684138,6897.82382101527,25.0687657200302,2.02424988293965,4.69857495409748,19232.4793330359,18334.9996651563,1068.42312986615,1165.69436029902,771.262769626268,399.894299714154,330.464343150766
1985,"census","fit",49493.1218986911,37741.4026317375,68666.2818613391,6104.44607745885,97.2556367820866,2.12743211797902,10.9938780286477,18679.6130741171,19342.550969345,1313.18798621282,1170.74759381802,783.386376540056,403.434549382833,333.9544334434
1986,"census","fit",48301.1233969458,36910.0740823042,66803.6005416197,5393.44597285698,224.333271292974,4.03628970809282,25.5375479276912,18138.1060861854,19440.164532846,1594.54948799433,1195.53220261249,782.492006173729,409.584494193206,338.66861432983
1987,"census","fit",47459.8350943521,32586.0317054161,76141.1677040958,4787.42997505229,466.180062271553,7.5862821703715,35.3008664546064,14977.2951039188,19454.2785464933,1935.85061941742,2107.29893803156,1336.06360577368,654.403883934137,468.851934690632
1988,"census","fit",49032.3587989215,33336.7894678822,82184.1573753998,6264.40458151541,806.625744710447,30.1213488742921,49.3340164313944,12243.6406609514,19408.376157993,2380.02242588715,2654.71172178953,1750.36407903313,757.890422751973,874.758323574834
1989,"census","fit",49795.4857940105,35452.4566053238,82540.3945184688,8214.59749274044,859.717302639986,38.62485150282,68.3352102936585,10093.6735750245,19407.9590947527,2924.6309605457,3325.56325345578,2314.73919011602,884.033558639765,785.545466045319
1990,"census","fit",48959.443882342,35649.5355992877,80188.0566576849,8517.20842272331,1271.82165339194,56.4961985579176,85.6836354558225,8273.88019663395,19371.3981250442,3583.55348972718,3528.66944756693,1987.58169468505,1012.7998869097,707.255788984693
1991,"census","fit",47351.4785617479,35592.3260561652,74524.6369694532,8820.456063332,1824.06250054862,123.998894064674,75.7403531798416,6341.31071653818,19242.2218669858,3258.37960769816,3536.00454312073,2195.54472685343,839.809108862881,691.562640687191
1992,"census","fit",47099.9152779346,37377.3963785895,66112.8766629905,7666.75928199191,2021.43501608863,160.70453829388,56.8333996027043,6816.50034983642,19208.0305968251,3599.75667993634,3563.23802377076,2414.16340348631,703.047588480368,676.741812410298
1993,"census","fit",42113.931617296,37841.701480691,47316.4499436794,7406.66368290829,2202.02353799771,240.242621936298,41.5963776347223,2750.24600730961,19348.6368138981,2433.08802053801,3498.98464901275,2635.57620113317,705.647915084214,722.381681433594
1994,"census","fit",44332.1942504414,35032.8851865732,61884.0728948062,9224.31740986356,2704.36715480715,346.802333571625,44.2650020906927,4397.28824701529,18318.780892719,2914.05455466191,2229.30319318413,2764.29186281373,662.253304597287,528.538339566893
1995,"census","fit",44385.4748450356,34351.340946403,66312.6957505487,9707.56233956666,2371.22450293757,369.802992178672,50.1189478558637,4175.33474463747,17481.4307256598,3456.8152963877,2270.61222583671,3215.492610748,479.02794170891,590.920006600495
1996,"census","fit",41587.7156339614,31651.1942189739,63999.3872668271,9451.66049191848,3043.28264171901,429.832654499895,56.7762745001701,3296.76925145818,16620.6227712733,2452.58800037487,2396.85765001379,2610.53701490879,395.863052631303,506.358792205986
1997,"census","fit",38927.1290365029,29892.3663800354,59062.5236425946,8902.36417517749,3325.34951792962,682.009203985322,64.0188148043229,2722.69812262251,15831.7220836097,1748.79113222631,2656.17644128071,1927.30514230555,429.752600217524,507.214234297905
1998,"census","fit",40472.4917660631,32671.5791884398,54726.9950985762,11029.6303380411,3520.31987553126,587.755223662046,72.2123449809276,2049.59913621243,15014.0317880901,2561.55797767949,2873.99202624135,1600.03545298228,444.275527640008,469.398685755782
1999,"census","fit",46349.5403112383,42077.4954934777,51229.5539318759,14884.5640268209,4399.93365984094,876.158440256844,86.4543915694189,2323.6833218962,14193.1456799137,3763.74905839306,3005.06998204977,1689.15814858575,480.497454161984,466.492287429002
2000,"census","fit",50372.6449271242,45676.3399538832,55547.9495141709,17149.9565394087,5382.74889237201,952.077527539667,102.795990414627,2216.96354149127,15241.9096752508,4136.39935622177,2829.91621332614,1431.29623110558,389.437871320671,367.842764163689
2001,"census","fit",57895.6782001984,52447.9212457955,64029.8770123931,21116.8640001492,6357.44862893089,1046.61072624624,110.667504353982,2103.14413106479,16316.1525152417,4878.71823100771,2688.93221305161,2163.7320713005,506.970888797766,366.73588453814
2002,"census","fit",54141.7046363168,47012.6108865039,63579.0208208298,22359.3918554421,6967.83885863193,1078.29216317875,115.28874390784,2124.37365406932,12352.2665159265,2337.67962099439,3319.48069988512,2163.38243012934,511.285061854605,400.590865838143
2003,"census","fit",46344.6441503191,41896.8352758081,51751.7989592339,20717.4753790425,6177.92402822486,1049.70770880076,120.621892813043,1965.38814289769,9379.9477650753,1114.73575192016,2760.52286363097,2003.88067606589,540.909419179483,379.913755562901
2004,"census","fit",51684.9524626228,46326.8632489956,57611.2552903494,24227.9404697904,7572.14977045092,1184.16651801369,105.455960669786,2179.57673477617,9354.60850120956,2728.62512881428,2117.59015964643,944.044587988489,650.601925966724,439.69285275512
2005,"census","fit",44694.2967432646,40235.3357259648,49962.366862979,21823.3641290297,7066.57912228366,1208.90339697883,182.098229527575,2059.12927661394,4689.44959456174,3109.66407720208,2368.98804235586,1027.2059014523,614.299059376071,457.697847666048
2006,"census","fit",36722.8725199787,33454.3650437638,40490.5040724381,13677.7518027939,5961.69888412027,1064.3031290144,256.68415083253,2010.43144560186,7357.21663194424,2699.80295115203,1879.31446927642,709.089277437296,593.718113925787,371.897184525824
2007,"census","fit",29734.2610127608,27021.1332921238,32803.2605800023,11279.1753650497,5757.56769302891,848.189598372203,264.248339306397,1554.61902521745,4783.29089467431,1569.99435033319,2081.52573276276,451.371176469421,575.601178637819,452.570374088703
2008,"census","fit",27768.6519827025,25560.9529366187,30186.2657098647,6027.34411745789,4148.22392558897,888.911976156003,317.238163445915,1571.89131336059,7355.12888997856,2620.15370713337,3025.2265337111,590.663782617031,644.276525490341,481.255691937797
2009,"census","fit",24582.7261352457,22659.2161037051,26790.3230152776,5189.11634342485,2539.79660668255,732.738920470908,470.149026196265,1295.37796137935,6937.46554611235,2621.65423419114,2649.08859290545,614.944930329284,822.359662904946,601.159298911928
2010,"census","fit",25772.5361102586,22167.651590615,31117.87181252,4840.50278492402,2548.98617377665,888.053578311382,503.422550495653,1396.72130569128,7564.32517128572,2616.31419164782,3113.59506047904,648.762261608795,843.405617100621,596.060049431258
2011,"census","fit",24598.2492482912,22635.1434115484,26852.0120232178,3854.99173502041,1861.58183783319,690.573195517011,1108.82663986814,1030.14622182295,8253.46188783227,2614.410441715,3117.57020186359,580.119532136208,775.415448292746,621.434736139779
2012,"census","fit",23131.6637338373,21372.1020872125,25109.3950968475,2754.4961996274,1653.80355777846,793.978789975967,1779.2055243444,1269.64295454622,6833.7430513375,2748.04478369291,3266.83664684326,556.883344079528,754.38730053018,627.173557974485
