"","Median","LCI","UCI","Geweke.p","Heidelberger.p"
"r.Dassen.Island",0.008,-0.107,0.128,0.214,0.162
"r.Robben.Island",0.2,0.085,0.321,0.147,0.304
"r.Boulders",0.242,0.127,0.36,0.238,0.053
"r.Stony.Point",0.286,0.173,0.404,0.999,0.858
"r.Dyer.Island",-0.025,-0.14,0.093,0.303,0.472
"r.St.Croix.Island",0.044,-0.069,0.165,0.879,0.957
"r.Bird.Island",0.104,-0.012,0.223,0.975,0.805
"r.Mercury",0.083,-0.033,0.203,0.251,0.75
"r.Ichaboe",0.056,-0.06,0.174,0.551,0.643
"r.Halifax",0.084,-0.032,0.201,0.471,0.877
"r.Possession",0.087,-0.029,0.209,0.803,0.626
"sigma.proc",0.348,0.302,0.381,0.902,0.192
