"","Median","LCI","UCI","Geweke.p","Heidelberger.p"
"r.Dassen.Island",0.022,-0.094,0.146,0.772,0.614
"r.Robben.Island",0.233,0.108,0.356,0.139,0.413
"r.Boulders",0.25,0.129,0.372,0.231,0.549
"r.Stony.Point",0.285,0.164,0.407,0.598,0.513
"r.Dyer.Island",-0.04,-0.158,0.083,0.884,0.503
"r.St.Croix.Island",0.041,-0.077,0.162,0.81,0.858
"r.Bird.Island",0.107,-0.014,0.23,0.392,0.487
"r.Mercury",0.092,-0.031,0.216,0.669,0.958
"r.Ichaboe",0.049,-0.072,0.173,0.082,0.077
"r.Halifax",0.079,-0.039,0.204,0.763,0.097
"r.Possession",0.079,-0.038,0.201,0.209,0.431
"sigma.proc",0.342,0.313,0.373,0.656,0.714
