"","Median","LCI","UCI","Geweke.p","Heidelberger.p"
"r.Dassen.Island",0.008,-0.099,0.115,0.313,0.511
"r.Robben.Island",0.196,0.088,0.305,0.134,0.223
"r.Boulders",0.225,0.114,0.335,0.026,0.111
"r.Stony.Point",0.261,0.151,0.373,0.789,0.975
"r.Dyer.Island",-0.026,-0.131,0.084,0.203,0.061
"r.St.Croix.Island",0.036,-0.073,0.143,0.254,0.821
"r.Bird.Island",0.094,-0.013,0.208,0.38,0.7
"r.Mercury",0.08,-0.033,0.196,0.535,0.994
"r.Ichaboe",0.045,-0.07,0.16,0.599,0.771
"r.Halifax",0.086,-0.029,0.201,0.936,0.896
"r.Possession",0.096,-0.017,0.211,0.99,0.932
"sigma.proc",0.34,0.305,0.371,0.468,0.223
